"ID","DataSrc","Irrigtn","CropTyp","LstSrvD","county"
"17132_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/13","Lewis"
"17138_WSDA_SF_2017","wsda","big gun","wheat","2017/08/09","Lewis"
"17147_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"17290_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/09","Lewis"
"17309_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"17363_WSDA_SF_2017","wsda","wheel line","cucumber","2017/08/15","Pierce"
"17366_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/09","Lewis"
"17369_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"17374_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"17447_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/09","Lewis"
"17491_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/09/15","Pierce"
"17492_WSDA_SF_2017","producer","big gun","wheat","2017/09/08","Pierce"
"17495_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"17502_WSDA_SF_2017","wsda","big gun","pea, green","2017/05/11","Lewis"
"17506_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"17510_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/07/26","Lewis"
"17512_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/15","Pierce"
"17528_WSDA_SF_2017","wsda","big gun","barley","2017/08/09","Lewis"
"17553_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"17554_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"17555_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"17594_WSDA_SF_2017","wsda","wheel line","rhubarb","2017/09/15","Pierce"
"17744_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/04/28","Lewis"
"17752_WSDA_SF_2017","wsda","big gun","wheat","2017/07/13","Lewis"
"17791_WSDA_SF_2017","wsda","big gun","pea, green","2017/05/04","Lewis"
"17805_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/13","Lewis"
"17806_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"17852_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/09","Lewis"
"18135_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"18152_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"18155_WSDA_SF_2017","wsda","big gun","barley","2017/08/09","Lewis"
"18181_WSDA_SF_2017","wsda","big gun","pumpkin","2017/07/26","Lewis"
"18182_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"18207_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/09","Lewis"
"18211_WSDA_SF_2017","wsda","big gun","wheat","2017/07/13","Lewis"
"18323_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Pierce"
"18386_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Pierce"
"18420_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18421_WSDA_SF_2017","wsda","sprinkler","pumpkin","2017/09/15","Pierce"
"18454_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18458_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"18466_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18494_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/12","Lewis"
"18504_WSDA_SF_2017","wsda","big gun","pumpkin","2017/04/28","Lewis"
"18511_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"18855_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18869_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Pierce"
"18930_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"18934_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18935_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18936_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"18938_WSDA_SF_2017","wsda","sprinkler","pumpkin","2017/08/15","Pierce"
"18942_WSDA_SF_2017","wsda","sprinkler/wheel line","cucumber","2017/08/15","Pierce"
"18943_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"18947_WSDA_SF_2017","wsda","sprinkler","rhubarb","2017/09/15","Pierce"
"18948_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"18949_WSDA_SF_2017","wsda","big gun","pea, dry","2017/07/13","Lewis"
"19292_WSDA_SF_2017","wsda","sprinkler","spinach seed","2017/08/09","Lewis"
"19415_WSDA_SF_2017","wsda","sprinkler","pumpkin","2017/09/15","Pierce"
"19597_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/09","Lewis"
"19601_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/15","Pierce"
"19604_WSDA_SF_2017","producer","big gun","pea, green","2017/09/08","Pierce"
"19629_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"19642_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"19643_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"19861_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"19878_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"19904_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"19905_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/04/28","Lewis"
"19923_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"19924_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/15","Pierce"
"19938_WSDA_SF_2017","wsda","big gun","pea, green","2017/08/09","Lewis"
"20200_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/09","Lewis"
"20202_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"20206_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/07/26","Lewis"
"20209_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"20223_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/12","Lewis"
"20224_WSDA_SF_2017","wsda","center pivot","corn, field","2017/07/12","Lewis"
"20248_WSDA_SF_2017","wsda","sprinkler","rutabaga","2017/09/15","Pierce"
"20267_WSDA_SF_2017","producer","big gun","wheat","2017/09/08","Pierce"
"20426_WSDA_SF_2017","wsda","sprinkler","rutabaga","2017/09/15","Pierce"
"20506_WSDA_SF_2017","wsda","drip","caneberry","2017/09/15","Pierce"
"20558_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"20576_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"20577_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"20618_WSDA_SF_2017","wsda","sprinkler","parsley","2017/09/15","Pierce"
"20620_WSDA_SF_2017","wsda","big gun","pumpkin","2017/09/15","Pierce"
"20621_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"20647_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"20857_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"20870_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"20874_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/15","Pierce"
"20895_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Pierce"
"20937_WSDA_SF_2017","wsda","sprinkler","rutabaga","2017/09/15","Pierce"
"20939_WSDA_SF_2017","wsda","wheel line","cucumber","2017/08/15","Pierce"
"20945_WSDA_SF_2017","wsda","big gun","wheat","2017/07/13","Lewis"
"20951_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"21193_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/09","Lewis"
"21236_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"21237_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"21249_WSDA_SF_2017","producer","big gun","wheat","2017/09/08","Pierce"
"21250_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/12","Lewis"
"21296_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"21569_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"21570_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"21576_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/09/15","Pierce"
"21581_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/12","Lewis"
"21582_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/13","Lewis"
"21583_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"21596_WSDA_SF_2017","wsda","sprinkler","pumpkin","2017/09/15","Pierce"
"21603_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"21611_WSDA_SF_2017","wsda","wheel line","barley","2017/08/09","Lewis"
"21620_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"21665_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Pierce"
"21809_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"21891_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/09/15","Pierce"
"21894_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"21901_WSDA_SF_2017","wsda","sprinkler/wheel line","cucumber","2017/08/15","Pierce"
"21904_WSDA_SF_2017","wsda","big gun","pumpkin","2017/09/15","Pierce"
"21926_WSDA_SF_2017","wsda","big gun","caneberry","2017/07/26","Lewis"
"21941_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"21946_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"21970_WSDA_SF_2017","wsda","big gun","pea, green","2017/07/13","Lewis"
"22259_WSDA_SF_2017","wsda","big gun","oat","2017/08/09","Lewis"
"22290_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"22291_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/09/15","Pierce"
"22320_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
