"lat","long"
41.15625,-105.59375
41.15625,-105.65625
41.15625,-105.71875
41.15625,-105.78125
41.15625,-105.84375
41.15625,-105.90625
41.15625,-105.96875
41.15625,-106.03125
41.15625,-106.09375
41.15625,-106.15625
41.15625,-106.21875
41.15625,-106.28125
41.15625,-106.34375
41.15625,-106.40625
41.15625,-106.46875
41.15625,-106.53125
41.15625,-106.59375
41.15625,-106.65625
41.15625,-106.71875
41.15625,-106.78125
41.15625,-106.84375
41.15625,-106.90625
41.15625,-106.96875
41.15625,-107.03125
41.15625,-107.09375
41.15625,-107.15625
41.15625,-107.21875
41.15625,-107.28125
41.15625,-107.34375
41.15625,-107.40625
41.15625,-107.46875
41.15625,-107.53125
41.15625,-107.59375
41.15625,-107.65625
41.15625,-107.71875
41.15625,-107.78125
41.15625,-107.84375
41.15625,-107.90625
41.15625,-107.96875
41.15625,-108.03125
41.15625,-108.09375
41.15625,-108.15625
41.15625,-108.21875
41.15625,-108.28125
41.15625,-108.34375
41.15625,-108.40625
41.15625,-108.46875
41.15625,-108.53125
41.15625,-108.59375
41.15625,-108.65625
41.15625,-108.71875
41.15625,-108.78125
41.15625,-108.84375
41.15625,-108.90625
41.15625,-108.96875
41.15625,-109.03125
41.15625,-109.09375
41.15625,-109.15625
41.15625,-109.21875
41.15625,-109.28125
41.15625,-109.34375
41.15625,-109.40625
41.15625,-109.46875
41.15625,-109.53125
41.15625,-109.59375
41.15625,-109.65625
41.15625,-109.71875
41.15625,-109.78125
41.15625,-109.84375
41.15625,-109.90625
41.15625,-109.96875
41.15625,-110.03125
41.15625,-110.09375
41.15625,-110.15625
41.15625,-110.21875
41.15625,-110.28125
41.15625,-110.34375
41.15625,-110.40625
41.15625,-110.46875
41.15625,-110.53125
41.15625,-110.59375
41.15625,-110.65625
41.15625,-110.71875
41.15625,-110.78125
41.15625,-110.84375
41.15625,-110.90625
41.15625,-110.96875
41.15625,-111.03125
41.15625,-111.09375
41.21875,-104.09375
41.21875,-104.15625
41.21875,-104.21875
